population,condition,condition_label,render_mode,running,start_organisms,end_organisms,fps,long_task_count,gc_count,totalFrame_avg_ms,totalFrame_p50_ms,totalFrame_p95_ms,totalFrame_max_ms,totalFrame_calls_per_frame,simulationUpdate_avg_ms,simulationUpdate_p50_ms,simulationUpdate_p95_ms,simulationUpdate_max_ms,simulationUpdate_calls_per_frame,drawTotal_avg_ms,drawTotal_p50_ms,drawTotal_p95_ms,drawTotal_max_ms,drawTotal_calls_per_frame,organismUpdate_avg_ms,organismUpdate_p50_ms,organismUpdate_p95_ms,organismUpdate_max_ms,organismUpdate_calls_per_frame,spatialIndex_avg_ms,spatialIndex_p50_ms,spatialIndex_p95_ms,spatialIndex_max_ms,spatialIndex_calls_per_frame,foodSearch_avg_ms,foodSearch_p50_ms,foodSearch_p95_ms,foodSearch_max_ms,foodSearch_calls_per_frame,carcassSearch_avg_ms,carcassSearch_p50_ms,carcassSearch_p95_ms,carcassSearch_max_ms,carcassSearch_calls_per_frame,planktonSearch_avg_ms,planktonSearch_p50_ms,planktonSearch_p95_ms,planktonSearch_max_ms,planktonSearch_calls_per_frame,targetLookup_avg_ms,targetLookup_p50_ms,targetLookup_p95_ms,targetLookup_max_ms,targetLookup_calls_per_frame,reproduction_avg_ms,reproduction_p50_ms,reproduction_p95_ms,reproduction_max_ms,reproduction_calls_per_frame,predation_avg_ms,predation_p50_ms,predation_p95_ms,predation_max_ms,predation_calls_per_frame,deathRemoval_avg_ms,deathRemoval_p50_ms,deathRemoval_p95_ms,deathRemoval_max_ms,deathRemoval_calls_per_frame,telemetryStatistics_avg_ms,telemetryStatistics_p50_ms,telemetryStatistics_p95_ms,telemetryStatistics_max_ms,telemetryStatistics_calls_per_frame,trailHistory_avg_ms,trailHistory_p50_ms,trailHistory_p95_ms,trailHistory_max_ms,trailHistory_calls_per_frame,environmentDraw_avg_ms,environmentDraw_p50_ms,environmentDraw_p95_ms,environmentDraw_max_ms,environmentDraw_calls_per_frame,organismDraw_avg_ms,organismDraw_p50_ms,organismDraw_p95_ms,organismDraw_max_ms,organismDraw_calls_per_frame,resourceDraw_avg_ms,resourceDraw_p50_ms,resourceDraw_p95_ms,resourceDraw_max_ms,resourceDraw_calls_per_frame,effectsDraw_avg_ms,effectsDraw_p50_ms,effectsDraw_p95_ms,effectsDraw_max_ms,effectsDraw_calls_per_frame,uiHudDraw_avg_ms,uiHudDraw_p50_ms,uiHudDraw_p95_ms,uiHudDraw_max_ms,uiHudDraw_calls_per_frame,otherUpdate_avg_ms,otherUpdate_p50_ms,otherUpdate_p95_ms,otherUpdate_max_ms,otherUpdate_calls_per_frame,otherDraw_avg_ms,otherDraw_p50_ms,otherDraw_p95_ms,otherDraw_max_ms,otherDraw_calls_per_frame,errors
200,A,通常描画・実行中,full,true,200,200,13.334444537044755,30,0,74.99374999999999,83.29999999999973,100,116.59999999999991,0.96875,10.421875013038516,10.199999988079071,17.100000023841858,27.600000023841858,0.96875,25.378124995157123,22.19999998807907,43.59999996423721,49.19999998807907,1,9.337500002235174,9.300000011920929,13.300000011920929,24.100000023841858,193.75,0.13437500782310963,0.10000002384185791,0.30000001192092896,0.30000001192092896,0.96875,0.9000000208616257,0.6000000834465027,1.5999999642372131,1.5999999642372131,400,0.04999999701976776,0,0.19999998807907104,0.19999998807907104,400,0.125,0.09999996423721313,0.30000001192092896,0.30000001192092896,30,0,0,0,0,0,0.6999999731779099,0.6000000238418579,0.9999999403953552,0.9999999403953552,200,1.1500000357627869,1,1.7000000476837158,1.7000000476837158,400,0.02580644815198837,0,0.19999998807907104,0.19999998807907104,26.806451612903224,0.49354839132678124,0.5,0.7000000476837158,1.800000011920929,11,0,0,0,0,200,14.687500001862645,1.899999976158142,34.19999998807907,36.10000002384186,2,9.762499999254942,8.399999976158142,17.200000047683716,18.100000023841858,200,0.4750000014901161,0.40000003576278687,0.699999988079071,1,77.65625,0,0,0,0,1,0.4218749962747097,0.19999998807907104,2.699999988079071,3.399999976158142,3,0.1531250011175871,0.09999996423721313,0.5,1.199999988079071,0,0.04999999329447746,0,0.19999998807907104,0.19999998807907104,0,
200,B,軽量描画・実行中,tiny,true,200,200,13.562386980108496,31,0,73.73333333333335,66.70000000000027,100,100.09999999999991,0.9696969696969697,11.451515150792671,10.899999976158142,18.899999976158142,30.399999976158142,0.9696969696969697,22.493939392494433,20.30000001192093,37.80000001192093,41.10000002384186,1,10.060606062412262,9.599999964237213,13.700000047683716,26.599999964237213,193.93939393939394,0.17878787806539825,0.19999998807907104,0.30000001192092896,0.3999999761581421,0.9696969696969697,0.42499999701976776,0.30000001192092896,0.9999999403953552,0.9999999403953552,400,0.15000002086162567,0.10000002384185791,0.20000004768371582,0.20000004768371582,400,0.17500001192092896,0.19999998807907104,0.30000001192092896,0.30000001192092896,30,0,0,0,0,0,0.8499999344348907,0.8999998569488525,1.1999998092651367,1.1999998092651367,200,1.0749999433755875,0.9000000357627869,1.399999976158142,1.399999976158142,400,0.02187499962747097,0,0.10000002384185791,0.19999998807907104,26,0.5812500026077032,0.5000000596046448,0.800000011920929,1.5999999642372131,11,0.14999999105930328,0.10000002384185791,0.2999999523162842,0.2999999523162842,200,9.066666666305427,11,24.799999952316284,25.19999998807907,2,12.466666669556588,11.800000011920929,17.19999998807907,17.5,200,0.5515151475415085,0.5,0.800000011920929,2.099999964237213,77.66666666666667,0.012121211398731579,0,0.10000002384185791,0.10000002384185791,1,0.3575757561307965,0.19999998807907104,1.4000000357627869,4.199999988079071,3,0.19696969335729425,0.10000002384185791,0.699999988079071,1.800000011920929,0,0.048484849207329025,0,0.20000004768371582,0.20000004768371582,0,
200,C,通常描画・一時停止中,full,false,200,200,21.127355700160567,17,0,47.332,50,66.69999999999982,66.70000000000027,0.98,0,0,0,0,0,2.7660000038146975,2.5,4.100000023841858,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45200000166893006,0.40000003576278687,0.699999988079071,0.7000000476837158,2,1.6339999973773955,1.4000000357627869,2.599999964237213,5,200,0.5019999992847443,0.5,0.800000011920929,0.800000011920929,82,0.01,0,0.10000002384185791,0.10000002384185791,1,0.14000000357627868,0.10000002384185791,0.30000001192092896,0.5999999642372131,3,0,0,0,0,0,0.04400000095367432,0,0.10000002384185791,0.19999998807907104,0,
200,D,軽量描画・一時停止中,tiny,false,200,200,19.584149339555815,22,0,51.06170212765958,50,66.70000000000027,83.30000000000018,0.9787234042553191,0,0,0,0,0,11.380851056981594,10.600000023841858,16,16.799999952316284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4148936132167248,0.3999999761581421,0.699999988079071,1,2,10.368085107904799,9.600000023841858,14.800000011920929,15.400000035762787,200,0.42340425608005927,0.3999999761581421,0.699999988079071,0.800000011920929,82,0.010638296604156494,0,0.09999996423721313,0.10000002384185791,1,0.12340425810915359,0.10000002384185791,0.30000001192092896,0.5,3,0,0,0,0,0,0.04893616666185095,0,0.19999992847442627,0.30000001192092896,0,
500,A,通常描画・実行中,full,true,500,500,5.532150304268266,13,0,180.76153846153846,200,250.0999999999999,250.0999999999999,0.9230769230769231,31.87692307967406,32.5,54.60000002384186,54.60000002384186,0.9230769230769231,68.5153846190526,68.40000003576279,96.09999996423721,96.09999996423721,1,30.192307696892666,30.900000035762787,50.60000002384186,50.60000002384186,461.53846153846155,0.3153846218035771,0.30000001192092896,0.699999988079071,0.699999988079071,0.9230769230769231,1.5,1.5,1.5,1.5,1000,0.7000000476837158,0.7000000476837158,0.7000000476837158,0.7000000476837158,1000,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,72,0,0,0,0,0,1.9000000953674316,1.9000000953674316,1.9000000953674316,1.9000000953674316,500,5.200000107288361,5.200000107288361,5.200000107288361,5.200000107288361,1000,0.06666665772596995,0,0.30000001192092896,0.30000001192092896,42.666666666666664,1.1249999950329463,1.100000023841858,1.800000011920929,1.800000011920929,11,0.40000003576278687,0.40000003576278687,0.40000003576278687,0.40000003576278687,500,37.60769229668837,38.299999952316284,50.59999996423721,50.59999996423721,2,29.90769230402433,30.399999976158142,44.69999998807907,44.69999998807907,500,0.5384615476314838,0.40000003576278687,1.2000000476837158,1.2000000476837158,72.53846153846153,0.007692304941324087,0,0.09999996423721313,0.09999996423721313,1,0.4692307710647583,0.30000001192092896,2.399999976158142,2.399999976158142,3,0.2846153928683354,0.19999998807907104,1.399999976158142,1.399999976158142,0,0.03076923810518705,0,0.19999998807907104,0.19999998807907104,0,
500,B,軽量描画・実行中,tiny,true,500,500,6.475006475006476,15,0,154.43999999999997,166.69999999999982,216.59999999999945,216.59999999999945,0.9333333333333333,31.0599999944369,33.40000003576279,50,50,0.9333333333333333,51.23333333730697,50.69999998807907,68.40000003576279,68.40000003576279,1,29.40000000397364,32,45.299999952316284,45.299999952316284,466.6666666666667,0.35999999443689984,0.30000001192092896,0.6000000238418579,0.6000000238418579,0.9333333333333333,1.5000001192092896,1.5000001192092896,1.5000001192092896,1.5000001192092896,1000,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,1000,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,72,0,0,0,0,0,2.3999998569488525,2.3999998569488525,2.3999998569488525,2.3999998569488525,500,4.400000154972076,4.400000154972076,4.400000154972076,4.400000154972076,1000,0.04999999914850507,0,0.30000001192092896,0.30000001192092896,36.714285714285715,1.0142857091767448,0.800000011920929,2.100000023841858,2.100000023841858,11,0.20000004768371582,0.20000004768371582,0.20000004768371582,0.20000004768371582,500,19.079999995231628,20,29.5,29.5,2,30.999999996026357,31.69999998807907,45.90000003576279,45.90000003576279,500,0.5200000087420146,0.3999999761581421,2.400000035762787,2.400000035762787,72.06666666666666,0.0066666682561238606,0,0.10000002384185791,0.10000002384185791,1,0.6399999976158142,0.30000001192092896,4.800000011920929,4.800000011920929,3,0.3066666682561239,0.19999998807907104,1.800000011920929,1.800000011920929,0,0.046666665871938066,0,0.20000004768371582,0.20000004768371582,0,
500,C,通常描画・一時停止中,full,false,500,500,10.792143319663282,25,0,92.66000000000003,100,116.70000000000027,116.70000000000027,0.96,0,0,0,0,0,5.111999998092651,5,6.600000023841858,9.199999988079071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44799999713897704,0.40000003576278687,0.6000000238418579,0.7000000476837158,2,3.9080000019073484,3.600000023841858,5.100000023841858,8.199999988079071,500,0.5040000009536744,0.40000003576278687,0.800000011920929,1.399999976158142,82,0.003999998569488525,0,0,0.09999996423721313,1,0.24000000238418578,0.19999998807907104,0.5,0.6000000238418579,3,0,0,0,0,0,0.04799999713897705,0,0.10000002384185791,0.19999998807907104,0,
500,D,軽量描画・一時停止中,tiny,false,500,500,9.583732655527312,23,0,104.34347826086959,116.59999999999991,133.4000000000001,133.4000000000001,0.9565217391304348,0,0,0,0,0,27.213043484998785,26,35.19999998807907,38.200000047683716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4695652308671371,0.5,0.699999988079071,0.7000000476837158,2,26.078260859717492,24.69999998807907,33.90000003576279,37.09999996423721,500,0.4478260900663293,0.40000003576278687,0.699999988079071,0.7000000476837158,82,0.004347824532052745,0,0,0.09999996423721313,1,0.1913043571555096,0.10000002384185791,0.5,0.5000000596046448,3,0,0,0,0,0,0.06956521065338798,0.09999996423721313,0.19999992847442627,0.19999992847442627,0,
1000,A,通常描画・実行中,full,true,1000,1000,3.4533367866701203,8,0,289.575,316.6999999999998,400.09999999999945,400.09999999999945,0.875,65.61249998956919,68.59999996423721,94.39999997615814,94.39999997615814,0.875,96.26250000298023,101.5,130.60000002384186,130.60000002384186,1,62.82499999552965,65.40000003576279,88.60000002384186,88.60000002384186,875,0.5,0.5,0.800000011920929,0.800000011920929,0.875,1.3000000715255737,1.3000000715255737,1.3000000715255737,1.3000000715255737,2000,1.3000001907348633,1.3000001907348633,1.3000001907348633,1.3000001907348633,2000,0.5000001192092896,0.5000001192092896,0.5000001192092896,0.5000001192092896,148,0,0,0,0,0,4.8000001311302185,4.8000001311302185,4.8000001311302185,4.8000001311302185,1000,11.199999630451202,11.199999630451202,11.199999630451202,11.199999630451202,2000,0.07142857994352068,0,0.40000003576278687,0.40000003576278687,143.85714285714286,2.042857144560133,1.5,3.300000011920929,3.300000011920929,11,0.7999998927116394,0.7999998927116394,0.7999998927116394,0.7999998927116394,1000,39.2875000089407,44.60000002384186,53,53,2,56.150000005960464,55.90000003576279,82.60000002384186,82.60000002384186,1000,0.4749999865889549,0.3999999761581421,0.6000000238418579,0.6000000238418579,67.375,0.02499999850988388,0,0.10000002384185791,0.10000002384185791,1,0.4375,0.30000001192092896,0.800000011920929,0.800000011920929,3,0.44999998807907104,0.2999999523162842,1.9999999403953552,1.9999999403953552,0,0.0625000074505806,0,0.30000001192092896,0.30000001192092896,0,
1000,B,軽量描画・実行中,tiny,true,1000,1000,3.857363277901595,9,0,259.2444444444444,299.9000000000001,333.4000000000001,333.4000000000001,0.8888888888888888,65.55555554893282,74.69999998807907,92.59999996423721,92.59999996423721,0.8888888888888888,83.85555556085374,89,107.89999997615814,107.89999997615814,1,62.622222224871315,71.5,87.39999997615814,87.39999997615814,888.8888888888889,0.4555555648273892,0.5,0.7000000476837158,0.7000000476837158,0.8888888888888888,0.6999999284744263,0.6999999284744263,0.6999999284744263,0.6999999284744263,2000,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,2000,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,148,0,0,0,0,0,3.9999999403953552,3.9999999403953552,3.9999999403953552,3.9999999403953552,1000,13.79999989271164,13.79999989271164,13.79999989271164,13.79999989271164,2000,0.09999999403953552,0,0.3999999761581421,0.3999999761581421,126,2.2499999925494194,2,3.399999976158142,3.399999976158142,11,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1000,19.355555560853745,20.400000035762787,29.80000001192093,29.80000001192093,2,63.71111110183928,68,80.09999996423721,80.09999996423721,1000,0.36666667461395264,0.30000001192092896,0.5,0.5,67,0,0,0,0,1,0.5666666626930237,0.40000003576278687,1.199999988079071,1.199999988079071,3,0.41111110316382515,0.3999999761581421,1.2999999523162842,1.2999999523162842,0,0.04444444841808743,0,0.19999998807907104,0.19999998807907104,0,
