seed,step,frame,population,packs,hunt_pack_organisms,species,established_lineages
41001,0,0,64,0,3,63,63
41001,200,200,59,0,3,55,63
41001,400,400,36,0,1,32,63
41001,600,600,37,0,2,31,63
41001,800,800,42,1,2,28,63
41001,1000,1000,55,1,2,26,63
41001,1200,1200,87,1,2,26,63
41001,1400,1400,136,0,1,29,63
41001,1600,1600,230,1,2,36,63
41001,1800,1800,390,0,1,43,63
41001,2000,2000,591,0,2,51,64
41001,2200,2200,737,0,1,53,64
41001,2400,2400,752,0,1,54,64
41001,2600,2600,598,1,2,52,65
41001,2800,2800,405,0,0,44,65
41001,3000,3000,245,0,0,35,65
41001,3200,3200,138,0,0,22,65
41001,3400,3400,89,0,0,20,65
41001,3600,3600,69,0,0,20,65
41001,3800,3800,63,0,0,16,65
41001,4000,4000,77,0,0,16,65
41001,4200,4200,96,0,0,16,66
41001,4400,4400,124,0,0,17,66
41001,4600,4600,157,0,0,17,67
41001,4800,4800,203,0,0,18,68
41001,5000,5000,217,0,0,18,68
41001,5200,5200,214,0,0,19,68
41001,5400,5400,208,0,0,19,69
41001,5600,5600,205,0,0,20,69
41001,5800,5800,193,0,0,18,69
41001,6000,6000,166,0,0,16,69
41001,6200,6200,119,0,0,12,69
41001,6400,6400,82,0,0,9,69
41001,6600,6600,67,0,0,9,69
41001,6800,6800,59,0,0,9,69
41001,7000,7000,53,0,0,9,69
41001,7200,7200,44,0,0,7,69
41001,7400,7400,44,0,0,7,69
41001,7600,7600,44,0,0,7,69
41001,7800,7800,43,0,0,7,69
41001,8000,8000,44,0,0,7,69
41001,8200,8200,44,0,0,7,69
41001,8400,8400,45,0,0,8,69
41001,8600,8600,56,0,0,8,69
41001,8800,8800,92,0,0,8,70
41001,9000,9000,168,0,0,8,71
41001,9200,9200,342,0,0,11,76
41001,9400,9400,594,0,0,12,80
41001,9600,9600,912,0,0,12,80
41001,9800,9800,1068,0,0,12,83
41001,10000,10000,1016,0,0,12,83
41001,10200,10200,776,0,0,11,83
41001,10400,10400,429,0,0,11,83
41001,10600,10600,207,0,0,11,83
41001,10800,10800,98,0,0,10,83
41001,11000,11000,55,0,0,8,83
41001,11200,11200,36,0,0,7,83
41001,11400,11400,20,0,0,6,83
41001,11600,11600,15,0,0,4,83
41001,11800,11800,16,0,0,3,83
41001,12000,12000,19,0,0,4,83
41001,12200,12200,27,0,0,5,83
41001,12400,12400,43,0,0,7,83
41001,12600,12600,62,0,0,7,85
41001,12800,12800,93,0,0,7,85
41001,13000,13000,164,0,0,7,85
41001,13200,13200,293,0,0,8,88
41001,13400,13400,504,0,0,8,88
41001,13600,13600,763,0,0,8,88
41001,13800,13800,928,0,0,10,88
41001,14000,14000,925,0,0,10,88
41001,14200,14200,745,0,0,9,88
41001,14400,14400,491,0,0,9,88
41001,14600,14600,241,0,0,7,88
41001,14800,14800,109,0,0,7,88
41001,15000,15000,53,0,0,7,88
41001,15200,15200,28,0,0,5,88
41001,15400,15400,26,0,0,5,88
41001,15600,15600,20,0,0,5,88
41001,15800,15800,18,0,0,5,88
41001,16000,16000,17,0,0,5,88
41001,16200,16200,17,0,0,5,88
41001,16400,16400,17,0,0,5,88
41001,16600,16600,17,0,0,5,88
41001,16800,16800,17,0,0,5,88
41001,17000,17000,16,0,0,5,88
41001,17200,17200,16,0,0,5,88
41001,17400,17400,16,0,0,5,88
41001,17600,17600,24,0,0,6,88
41001,17800,17800,48,0,0,6,88
41001,18000,18000,107,0,0,6,88
41001,18200,18200,221,0,0,7,89
41001,18400,18400,409,0,0,8,89
41001,18600,18600,668,0,0,9,90
41001,18800,18800,939,0,0,10,93
41001,19000,19000,1097,0,0,10,94
41001,19200,19200,1045,0,0,10,94
41001,19400,19400,837,0,0,10,94
41001,19600,19600,504,0,0,9,94
41001,19800,19800,255,0,0,8,94
41001,20000,20000,114,0,0,7,94
43001,0,0,64,0,5,63,63
43001,200,200,52,1,6,47,63
43001,400,400,30,2,4,25,63
43001,600,600,18,3,5,16,63
43001,800,800,13,1,2,12,63
43001,1000,1000,18,1,2,14,63
43001,1200,1200,26,1,1,16,63
43001,1400,1400,36,0,0,16,63
43001,1600,1600,60,0,0,16,63
43001,1800,1800,114,0,0,21,63
43001,2000,2000,206,0,0,23,63
43001,2200,2200,395,0,0,28,63
43001,2400,2400,651,0,0,30,63
43001,2600,2600,842,0,0,34,63
43001,2800,2800,747,0,0,30,63
43001,3000,3000,533,0,0,24,63
43001,3200,3200,315,0,0,19,63
43001,3400,3400,171,0,0,17,63
43001,3600,3600,99,0,0,13,63
43001,3800,3800,71,0,0,12,63
43001,4000,4000,49,0,0,10,63
43001,4200,4200,42,0,0,10,63
43001,4400,4400,32,0,0,7,63
43001,4600,4600,33,0,0,8,63
43001,4800,4800,35,0,0,8,63
43001,5000,5000,47,0,0,9,63
43001,5200,5200,47,0,0,9,63
43001,5400,5400,42,0,0,5,63
43001,5600,5600,43,0,0,5,63
43001,5800,5800,41,0,0,4,63
43001,6000,6000,39,0,0,4,63
43001,6200,6200,39,0,0,4,63
43001,6400,6400,36,0,0,4,63
43001,6600,6600,38,0,0,4,63
43001,6800,6800,38,0,0,4,63
43001,7000,7000,38,0,0,4,63
43001,7200,7200,38,0,0,4,63
43001,7400,7400,38,0,0,4,63
43001,7600,7600,37,0,0,4,63
43001,7800,7800,37,0,0,4,63
43001,8000,8000,37,0,0,4,63
43001,8200,8200,41,0,0,4,63
43001,8400,8400,63,0,0,4,63
43001,8600,8600,116,0,0,5,63
43001,8800,8800,225,0,0,6,63
43001,9000,9000,425,0,0,6,64
43001,9200,9200,692,0,0,6,65
43001,9400,9400,1021,0,0,6,67
43001,9600,9600,1175,0,0,8,67
43001,9800,9800,972,0,0,8,69
43001,10000,10000,466,0,0,8,69
43001,10200,10200,108,0,0,5,69
43001,10400,10400,17,0,0,4,69
43001,10600,10600,5,0,0,2,69
43001,10800,10800,4,0,0,2,69
43001,11000,11000,4,0,0,2,69
43001,11200,11200,3,0,0,2,69
43001,11400,11400,3,0,0,2,69
43001,11600,11600,3,0,0,2,69
43001,11800,11800,3,0,0,2,69
43001,12000,12000,4,0,0,2,69
43001,12200,12200,5,0,0,2,69
43001,12400,12400,9,0,0,3,69
43001,12600,12600,17,0,0,4,69
43001,12800,12800,33,0,0,4,69
43001,13000,13000,66,0,0,5,70
43001,13200,13200,139,0,0,5,70
43001,13400,13400,240,0,0,6,71
43001,13600,13600,433,0,0,8,71
43001,13800,13800,676,0,0,8,72
43001,14000,14000,933,0,0,9,74
43001,14200,14200,1062,0,0,9,74
43001,14400,14400,903,0,0,8,77
43001,14600,14600,528,0,0,5,77
43001,14800,14800,217,0,0,4,77
43001,15000,15000,73,0,0,4,77
43001,15200,15200,22,0,0,3,77
43001,15400,15400,7,0,0,3,77
43001,15600,15600,4,0,0,2,77
43001,15800,15800,1,0,0,1,77
43001,16000,16000,1,0,0,1,77
43001,16200,16200,1,0,0,1,77
43001,16400,16400,1,0,0,1,77
43001,16600,16600,1,0,0,1,77
43001,16800,16800,1,0,0,1,77
43001,17000,17000,1,0,0,1,77
43001,17200,17200,1,0,0,1,77
43001,17400,17400,1,0,0,1,77
43001,17600,17600,2,0,0,2,77
43001,17800,17800,3,0,0,3,77
43001,18000,18000,7,0,0,3,77
43001,18200,18200,13,0,0,4,77
43001,18400,18400,27,0,0,4,78
43001,18600,18600,66,0,0,4,78
43001,18800,18800,142,0,0,5,79
43001,19000,19000,315,0,0,5,79
43001,19200,19200,619,0,0,6,79
43001,19400,19400,1066,0,0,6,83
43001,19600,19600,1518,0,0,7,89
43001,19800,19800,1829,0,0,7,92
43001,20000,20000,1962,0,0,7,93
45001,0,0,64,0,3,62,62
45001,200,200,50,0,3,46,62
45001,400,400,30,0,0,23,62
45001,600,600,35,0,0,20,62
45001,800,800,39,0,0,16,62
45001,1000,1000,54,0,0,18,62
45001,1200,1200,88,0,0,19,63
45001,1400,1400,132,0,0,23,63
45001,1600,1600,224,0,0,25,63
45001,1800,1800,316,0,0,28,64
45001,2000,2000,474,0,0,34,64
45001,2200,2200,605,0,0,33,64
45001,2400,2400,713,0,0,38,64
45001,2600,2600,703,0,0,36,64
45001,2800,2800,482,0,0,29,64
45001,3000,3000,251,0,0,24,64
45001,3200,3200,149,0,0,21,64
45001,3400,3400,90,0,0,18,64
45001,3600,3600,58,0,0,18,64
